iter	Passed	Remaining
0	0	69
1	1	66
2	2	68
3	2	66
4	3	64
5	4	63
6	4	64
7	5	64
8	6	63
9	8	75
10	9	74
11	9	72
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	16	64
20	16	62
21	17	62
22	18	61
23	19	60
24	20	60
25	20	58
26	21	58
27	22	57
28	22	55
29	23	55
30	24	54
31	25	53
32	26	53
33	26	52
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	33	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	39	35
53	40	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
